code,date,value,description
CKTCEUS,198305,109.816,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198306,117.446,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198307,140.014,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198308,147.023,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198309,127.839,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198310,122.3,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198311,124.249,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198312,142.382,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198313,1487.528,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198401,145.409,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198402,127.665,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198403,131.385,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198404,119.615,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198405,121.882,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198406,134.354,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198407,141.974,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198408,148.082,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198409,129.547,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198410,130.154,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198411,130.219,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198412,137.658,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198413,1597.944,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198501,149.878,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198502,131.955,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198503,130.034,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198504,124.176,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198505,129.658,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198506,133.798,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198507,148.127,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198508,146.075,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198509,133.224,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198510,130.118,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198511,129.676,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198512,150.417,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198513,1637.136,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198601,152.871,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198602,132.712,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198603,130.192,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
